"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVD","HIVD","","","",0,*,"","","","null {[]} {[]}
","HIV.D Care-Treatment Logical Model","Logical Model for HIV.D Care-Treatment data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVD.ntrti","HIVD.ntrti","","","",1,1,"","","","string {[]} {[]}
","NtRTI","Treated with nucleotide reverse-transcriptase inhibitors (NtRTIs)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE148
",,,,"HIVD.ntrti",1,1,"",""
"HIVD.nnrti","HIVD.nnrti","","","",1,1,"","","","string {[]} {[]}
","NNRTI","Treated with non-nucleoside reverse transcriptase inhibitors (NNRTIs)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE149
",,,,"HIVD.nnrti",1,1,"",""
"HIVD.pi","HIVD.pi","","","",1,1,"","","","string {[]} {[]}
","PI","Treated with protease inhibitors (PIs)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE150
",,,,"HIVD.pi",1,1,"",""
"HIVD.insti","HIVD.insti","","","",1,1,"","","","string {[]} {[]}
","INSTI","Treated with integrase strand transfer inhibitors (INSTIs)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE151
",,,,"HIVD.insti",1,1,"",""
"HIVD.preventionServicesOfferedAndReferrals","HIVD.preventionServicesOfferedAndReferrals","","","",1,1,"","","","string {[]} {[]}
","Prevention services offered and referrals","Offer or refer for prevention services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE152
",,,,"HIVD.preventionServicesOfferedAndReferrals",1,1,"",""
"HIVD.offerMaleAndFemaleCondomsAndCondomCompatibleLubricants","HIVD.offerMaleAndFemaleCondomsAndCondomCompatibleLubricants","","","",1,1,"","","","string {[]} {[]}
","Offer male and female condoms and condom-compatible lubricants","Offer male and female condoms and condom-compatible lubricants","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE153
",,,,"HIVD.offerMaleAndFemaleCondomsAndCondomCompatibleLubricants",1,1,"",""
"HIVD.harmReductionForPeopleWhoInjectDrugs","HIVD.harmReductionForPeopleWhoInjectDrugs","","","",1,1,"","","","string {[]} {[]}
","Harm reduction for people who inject drugs","Offer or refer people who inject drugs to harm reduction services (needle and syringe programmes, opioid substitution therapy, other drug-dependence treatment and opioid overdose prevention and management)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE154
",,,,"HIVD.harmReductionForPeopleWhoInjectDrugs",1,1,"",""
"HIVD.behaviouralInterventionsToSupportRiskReduction","HIVD.behaviouralInterventionsToSupportRiskReduction","","","",1,1,"","","","string {[]} {[]}
","Behavioural interventions to support risk reduction","Offer or refer to services for behavioural interventions to support risk reduction, particularly for people with HIV and members of key populations","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE155
",,,,"HIVD.behaviouralInterventionsToSupportRiskReduction",1,1,"",""
"HIVD.sexualAndReproductiveHealthIntegratedServices","HIVD.sexualAndReproductiveHealthIntegratedServices","","","",1,1,"","","","string {[]} {[]}
","Sexual and reproductive health integrated services","Offer or refer to sexual and reproductive health services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE156
",,,,"HIVD.sexualAndReproductiveHealthIntegratedServices",1,1,"",""
"HIVD.contraceptionAndFamilyPlanning","HIVD.contraceptionAndFamilyPlanning","","","",1,1,"","","","string {[]} {[]}
","Contraception and family planning","Offer contraception and family planning services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE157
",,,,"HIVD.contraceptionAndFamilyPlanning",1,1,"",""
"HIVD.checkPregnancyStatus","HIVD.checkPregnancyStatus","","","",1,1,"","","","string {[]} {[]}
","Check pregnancy status","Check womans pregnancy status","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE158
",,,,"HIVD.checkPregnancyStatus",1,1,"",""
"HIVD.preventionOfMotherToChildTransmission","HIVD.preventionOfMotherToChildTransmission","","","",1,1,"","","","string {[]} {[]}
","Prevention of mother-to-child transmission","Offer prevention of mother-to-child transmission services (counselling)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE159
",,,,"HIVD.preventionOfMotherToChildTransmission",1,1,"",""
"HIVD.stiTestingAndTreatment","HIVD.stiTestingAndTreatment","","","",1,1,"","","","string {[]} {[]}
","STI testing and treatment","Offer STI testing and treatment services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE160
",,,,"HIVD.stiTestingAndTreatment",1,1,"",""
"HIVD.hbsagTestDate","HIVD.hbsagTestDate","","","",1,1,"","","","string {[]} {[]}
","HBsAg test date","Date client was tested for hepatitis B virus (HBV)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE161
",,,,"HIVD.hbsagTestDate",1,1,"",""
"HIVD.hbsagTestResult","HIVD.hbsagTestResult","","","",1,1,"","","","string {[]} {[]}
","HBsAg test result","Hepatitis B virus test result (HBsAg)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE162
",,,,"HIVD.hbsagTestResult",1,1,"",""
"HIVD.hbsagPositive","HIVD.hbsagPositive","","","",1,1,"","","","string {[]} {[]}
","Positive","HBsAg test result was positive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE163
",,,,"HIVD.hbsagPositive",1,1,"",""
"HIVD.hbsagNegative","HIVD.hbsagNegative","","","",1,1,"","","","string {[]} {[]}
","Negative","HBsAg test result was negative","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE164
",,,,"HIVD.hbsagNegative",1,1,"",""
"HIVD.hbsagIndeterminate","HIVD.hbsagIndeterminate","","","",1,1,"","","","string {[]} {[]}
","Indeterminate","HBsAg test result was indeterminate","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE165
",,,,"HIVD.hbsagIndeterminate",1,1,"",""
"HIVD.dateHbvTestResultReturnedToClient","HIVD.dateHbvTestResultReturnedToClient","","","",1,1,"","","","string {[]} {[]}
","Date HBV test result returned to client","Date HBV test result (HBsAG) was returned to client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE166
",,,,"HIVD.dateHbvTestResultReturnedToClient",1,1,"",""
"HIVD.hbvTreatmentTdfStartDate","HIVD.hbvTreatmentTdfStartDate","","","",1,1,"","","","string {[]} {[]}
","HBV treatment (TDF) start date","Date when client started treatment (TDF) for hepatitis B virus (HBV)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE167
",,,,"HIVD.hbvTreatmentTdfStartDate",1,1,"",""
"HIVD.hbvTreatmentRegimenPrescribed","HIVD.hbvTreatmentRegimenPrescribed","","","",1,1,"","","","string {[]} {[]}
","HBV treatment regimen prescribed","Hepatitis B virus treatment regimen prescribed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE168
",,,,"HIVD.hbvTreatmentRegimenPrescribed",1,1,"",""
"HIVD.hcvTestDate","HIVD.hcvTestDate","","","",1,1,"","","","string {[]} {[]}
","HCV test date","Date client was tested for hepatitis C virus (HCV antibody, HCV RNA or HCV core antigen)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE169
",,,,"HIVD.hcvTestDate",1,1,"",""
"HIVD.hcvTestResult","HIVD.hcvTestResult","","","",1,1,"","","","string {[]} {[]}
","HCV test result","Hepatitis C virus test result (HCV antibody, HCV RNA or HCV core antigen)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE170
",,,,"HIVD.hcvTestResult",1,1,"",""
"HIVD.hcvPositive","HIVD.hcvPositive","","","",1,1,"","","","string {[]} {[]}
","Positive","HCV test result was positive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE171
",,,,"HIVD.hcvPositive",1,1,"",""
"HIVD.hcvNegative","HIVD.hcvNegative","","","",1,1,"","","","string {[]} {[]}
","Negative","HCV test result was negative","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE172
",,,,"HIVD.hcvNegative",1,1,"",""
"HIVD.hcvIndeterminate","HIVD.hcvIndeterminate","","","",1,1,"","","","string {[]} {[]}
","Indeterminate","HCV test result was indeterminate","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE173
",,,,"HIVD.hcvIndeterminate",1,1,"",""
"HIVD.dateHcvTestResultReturnedToClient","HIVD.dateHcvTestResultReturnedToClient","","","",1,1,"","","","string {[]} {[]}
","Date HCV test result returned to client","Date HCV test result was returned to client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE174
",,,,"HIVD.dateHcvTestResultReturnedToClient",1,1,"",""
"HIVD.hcvTreatmentStartDate","HIVD.hcvTreatmentStartDate","","","",1,1,"","","","string {[]} {[]}
","HCV treatment start date","Date when client started treatment for hepatitis C virus (HCV)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE175
",,,,"HIVD.hcvTreatmentStartDate",1,1,"",""
"HIVD.hcvTreatmentCompletionDate","HIVD.hcvTreatmentCompletionDate","","","",1,1,"","","","string {[]} {[]}
","HCV treatment completion date","Date when client completed treatment for hepatitis C virus (HCV)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE176
",,,,"HIVD.hcvTreatmentCompletionDate",1,1,"",""
"HIVD.hcvTreatmentRegimenPrescribed","HIVD.hcvTreatmentRegimenPrescribed","","","",1,1,"","","","string {[]} {[]}
","HCV treatment regimen prescribed","Hepatitis C virus treatment regimen prescribed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE177
",,,,"HIVD.hcvTreatmentRegimenPrescribed",1,1,"",""
"HIVD.hcvViralLoadTestDate","HIVD.hcvViralLoadTestDate","","","",1,1,"","","","string {[]} {[]}
","HCV viral load test date","Hepatitis C viral load test date","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE178
",,,,"HIVD.hcvViralLoadTestDate",1,1,"",""
"HIVD.hcvViralLoadTestResult","HIVD.hcvViralLoadTestResult","","","",1,1,"","","","string {[]} {[]}
","HCV viral load test result","Hepatitis C viral load test result (qualitative)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE179
",,,,"HIVD.hcvViralLoadTestResult",1,1,"",""
"HIVD.detected","HIVD.detected","","","",1,1,"","","","string {[]} {[]}
","Detected","HCV was detected","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE180
",,,,"HIVD.detected",1,1,"",""
"HIVD.notDetected","HIVD.notDetected","","","",1,1,"","","","string {[]} {[]}
","Not detected","HCV was not detected","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE181
",,,,"HIVD.notDetected",1,1,"",""
"HIVD.hcvMedicineType","HIVD.hcvMedicineType","","","",1,1,"","","","string {[]} {[]}
","HCV medicine type","Type of medicine client is prescribed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE182
",,,,"HIVD.hcvMedicineType",1,1,"",""
"HIVD.interferon","HIVD.interferon","","","",1,1,"","","","string {[]} {[]}
","Interferon","Client is prescribed interferon","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE183
",,,,"HIVD.interferon",1,1,"",""
"HIVD.directActingAntivirals","HIVD.directActingAntivirals","","","",1,1,"","","","string {[]} {[]}
","Direct acting antivirals","Client is prescribed direct acting antivirals","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE184
",,,,"HIVD.directActingAntivirals",1,1,"",""
"HIVD.currentlyOnTdfBasedArt","HIVD.currentlyOnTdfBasedArt","","","",1,1,"","","","string {[]} {[]}
","Currently on TDF-based ART","Client is currently on TDF-based ART regimen","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE185
",,,,"HIVD.currentlyOnTdfBasedArt",1,1,"",""
"HIVD.hivClinicalStage","HIVD.hivClinicalStage","","","",1,1,"","","","string {[]} {[]}
","HIV clinical stage","WHO clinical stage of client based on signs and symptoms. WHO clinical staging is a way to categorize HIV disease severity based on new or recurrent clinical events. There are 4 WHO clinical stages that range from mild symptoms (WHO clinical stage 1) to severe symptoms (WHO clinical stage 4).","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE186
",,,,"HIVD.hivClinicalStage",1,1,"",""
"HIVD.whoHivClinicalStage1","HIVD.whoHivClinicalStage1","","","",1,1,"","","","string {[]} {[]}
","WHO HIV clinical stage 1","Client is currently assessed to be at a clinical stage 1, based on clinical assessment and diagnostics","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE187
",,,,"HIVD.whoHivClinicalStage1",1,1,"",""
"HIVD.whoHivClinicalStage2","HIVD.whoHivClinicalStage2","","","",1,1,"","","","string {[]} {[]}
","WHO HIV clinical stage 2","Client is currently assessed to be at a clinical stage 2, based on clinical assessment and diagnostics","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE188
",,,,"HIVD.whoHivClinicalStage2",1,1,"",""
"HIVD.whoHivClinicalStage3","HIVD.whoHivClinicalStage3","","","",1,1,"","","","string {[]} {[]}
","WHO HIV clinical stage 3","Client is currently assessed to be at a clinical stage 3, based on clinical assessment and diagnostics","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE189
",,,,"HIVD.whoHivClinicalStage3",1,1,"",""
"HIVD.whoHivClinicalStage4","HIVD.whoHivClinicalStage4","","","",1,1,"","","","string {[]} {[]}
","WHO HIV clinical stage 4","Client is currently assessed to be at a clinical stage 4, based on clinical assessment and diagnostics","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE190
",,,,"HIVD.whoHivClinicalStage4",1,1,"",""
"HIVD.numberOfMissedDoses","HIVD.numberOfMissedDoses","","","",1,1,"","","","string {[]} {[]}
","Number of missed doses","Number of doses of antiretroviral therapy (ART) the client missed since the last visit, used for monitoring adherence","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE191
",,,,"HIVD.numberOfMissedDoses",1,1,"",""
"HIVD.receivedViralLoadTestResult","HIVD.receivedViralLoadTestResult","","","",1,1,"","","","string {[]} {[]}
","Received viral load test result","Client received results from viral load test","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE192
",,,,"HIVD.receivedViralLoadTestResult",1,1,"",""
"HIVD.dateViralLoadTestResultsReceivedByClient","HIVD.dateViralLoadTestResultsReceivedByClient","","","",1,1,"","","","string {[]} {[]}
","Date viral load test results received by client","The date on which the client received results from viral load test","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE193
",,,,"HIVD.dateViralLoadTestResultsReceivedByClient",1,1,"",""
"HIVD.dateOfViralLoadSampleCollection","HIVD.dateOfViralLoadSampleCollection","","","",1,1,"","","","string {[]} {[]}
","Date of viral load sample collection","Date and time when the sample was collected to test the clients HIV viral load","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE194
",,,,"HIVD.dateOfViralLoadSampleCollection",1,1,"",""
"HIVD.dateOfScheduledReviewOfViralLoadTestResults","HIVD.dateOfScheduledReviewOfViralLoadTestResults","","","",1,1,"","","","string {[]} {[]}
","Date of scheduled review of viral load test results","Expected date when clients viral load test results will be returned and reviewed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE195
",,,,"HIVD.dateOfScheduledReviewOfViralLoadTestResults",1,1,"",""
"HIVD.dateOfArtInterruption","HIVD.dateOfArtInterruption","","","",1,1,"","","","string {[]} {[]}
","Date of ART interruption","Date of clients ART interruption (ART stop or missed drug pick-up)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE196
",,,,"HIVD.dateOfArtInterruption",1,1,"",""
"HIVD.reasonsForAdherenceProblem","HIVD.reasonsForAdherenceProblem","","","",1,1,"","","","string {[]} {[]}
","Reason(s) for adherence problem","Reason why client was not adherent","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE197
",,,,"HIVD.reasonsForAdherenceProblem",1,1,"",""
"HIVD.forgot","HIVD.forgot","","","",1,1,"","","","string {[]} {[]}
","Forgot","Client reported not being adherent because they forgot","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE198
",,,,"HIVD.forgot",1,1,"",""
"HIVD.adhToxicitysideEffects","HIVD.adhToxicitysideEffects","","","",1,1,"","","","string {[]} {[]}
","Toxicity/side effects","Client reported not being adherent because of toxicity/side effects","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE199
",,,,"HIVD.adhToxicitysideEffects",1,1,"",""
"HIVD.busy","HIVD.busy","","","",1,1,"","","","string {[]} {[]}
","Busy","Client reported not being adherent because they were busy","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE200
",,,,"HIVD.busy",1,1,"",""
"HIVD.changeOfRoutine","HIVD.changeOfRoutine","","","",1,1,"","","","string {[]} {[]}
","Change of routine","Client reported not being adherent because of a change of routine","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE201
",,,,"HIVD.changeOfRoutine",1,1,"",""
"HIVD.travelCost","HIVD.travelCost","","","",1,1,"","","","string {[]} {[]}
","Travel cost","Client reported not being adherent because of travel cost","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE202
",,,,"HIVD.travelCost",1,1,"",""
"HIVD.distanceToClinic","HIVD.distanceToClinic","","","",1,1,"","","","string {[]} {[]}
","Distance to clinic","Client reported not being adherent because of distance to clinic","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE203
",,,,"HIVD.distanceToClinic",1,1,"",""
"HIVD.clientLostRanOutOfPills","HIVD.clientLostRanOutOfPills","","","",1,1,"","","","string {[]} {[]}
","Client lost/ran out of pills","Client reported not being adherent because client lost/ran out of pills","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE204
",,,,"HIVD.clientLostRanOutOfPills",1,1,"",""
"HIVD.stockOut","HIVD.stockOut","","","",1,1,"","","","string {[]} {[]}
","Stock-out","Client reported not being adherent because of a stock-out","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE205
",,,,"HIVD.stockOut",1,1,"",""
"HIVD.tooIll","HIVD.tooIll","","","",1,1,"","","","string {[]} {[]}
","Too ill","Client reported not being adherent because of being too ill","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE206
",,,,"HIVD.tooIll",1,1,"",""
"HIVD.pillBurden","HIVD.pillBurden","","","",1,1,"","","","string {[]} {[]}
","Pill burden","Client reported not being adherent because of the pill burden","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE207
",,,,"HIVD.pillBurden",1,1,"",""
"HIVD.feltWell","HIVD.feltWell","","","",1,1,"","","","string {[]} {[]}
","Felt well","Client reported not being adherent because they felt well","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE208
",,,,"HIVD.feltWell",1,1,"",""
"HIVD.depression","HIVD.depression","","","",1,1,"","","","string {[]} {[]}
","Depression","Client reported not being adherent because of depression","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE209
",,,,"HIVD.depression",1,1,"",""
"HIVD.alcoholUse","HIVD.alcoholUse","","","",1,1,"","","","string {[]} {[]}
","Alcohol use","Client reported not being adherent because of alcohol use","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE210
",,,,"HIVD.alcoholUse",1,1,"",""
"HIVD.substanceUse","HIVD.substanceUse","","","",1,1,"","","","string {[]} {[]}
","Substance use","Client reported not being adherent because of substance use (i.e. drugs)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE211
",,,,"HIVD.substanceUse",1,1,"",""
"HIVD.stigmadisclosureConcerns","HIVD.stigmadisclosureConcerns","","","",1,1,"","","","string {[]} {[]}
","Stigma/disclosure concerns","Client reported not being adherent because of stigma/disclosure concerns","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE212
",,,,"HIVD.stigmadisclosureConcerns",1,1,"",""
"HIVD.lackOfFood","HIVD.lackOfFood","","","",1,1,"","","","string {[]} {[]}
","Lack of food","Client reported not being adherent because of a lack of food","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE213
",,,,"HIVD.lackOfFood",1,1,"",""
"HIVD.poorPalatability","HIVD.poorPalatability","","","",1,1,"","","","string {[]} {[]}
","Poor palatability","Client reported not being adherent because of poor palatability","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE214
",,,,"HIVD.poorPalatability",1,1,"",""
"HIVD.otherReasonForNonadherence","HIVD.otherReasonForNonadherence","","","",1,1,"","","","string {[]} {[]}
","Other reason for nonadherence","Client reported not being adherent because of other reason for nonadherence","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE215
",,,,"HIVD.otherReasonForNonadherence",1,1,"",""
"HIVD.otherReasonForNonadherenceSpecify","HIVD.otherReasonForNonadherenceSpecify","","","",1,1,"","","","string {[]} {[]}
","Other reason for nonadherence (specify)","Client reported not being adherent because of other reason for nonadherence (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE216
",,,,"HIVD.otherReasonForNonadherenceSpecify",1,1,"",""
"HIVD.reasonArtStopped","HIVD.reasonArtStopped","","","",1,1,"","","","string {[]} {[]}
","Reason ART stopped","Reason client intentionally stopped ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE217
",,,,"HIVD.reasonArtStopped",1,1,"",""
"HIVD.toxicitysideEffects","HIVD.toxicitysideEffects","","","",1,1,"","","","string {[]} {[]}
","Toxicity/side effects","Client stopped ART because of toxicity/side effects","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE218
",,,,"HIVD.toxicitysideEffects",1,1,"",""
"HIVD.severeIllnessHospitalization","HIVD.severeIllnessHospitalization","","","",1,1,"","","","string {[]} {[]}
","Severe illness, hospitalization","Client stopped ART because of severe illness, hospitalization","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE219
",,,,"HIVD.severeIllnessHospitalization",1,1,"",""
"HIVD.drugsOutOfStock","HIVD.drugsOutOfStock","","","",1,1,"","","","string {[]} {[]}
","Drugs out of stock","Client stopped ART because drugs were out of stock","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE220
",,,,"HIVD.drugsOutOfStock",1,1,"",""
"HIVD.clientLacksFinances","HIVD.clientLacksFinances","","","",1,1,"","","","string {[]} {[]}
","Client lacks finances","Client stopped ART because of lack of finances","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE221
",,,,"HIVD.clientLacksFinances",1,1,"",""
"HIVD.excludedHivInfectionInInfant","HIVD.excludedHivInfectionInInfant","","","",1,1,"","","","string {[]} {[]}
","Excluded HIV infection in infant","Client stopped ART because HIV infection in infant was excluded","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE222
",,,,"HIVD.excludedHivInfectionInInfant",1,1,"",""
"HIVD.otherReasonForStoppingArt","HIVD.otherReasonForStoppingArt","","","",1,1,"","","","string {[]} {[]}
","Other reason for stopping ART","Client stopped ART because of other reason","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE223
",,,,"HIVD.otherReasonForStoppingArt",1,1,"",""
"HIVD.otherReasonForStoppingArtSpecify","HIVD.otherReasonForStoppingArtSpecify","","","",1,1,"","","","string {[]} {[]}
","Other reason for stopping ART (specify)","Client stopped ART because of other reason (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE224
",,,,"HIVD.otherReasonForStoppingArtSpecify",1,1,"",""
"HIVD.treatmentFailure","HIVD.treatmentFailure","","","",1,1,"","","","string {[]} {[]}
","Treatment failure","ART treatment failure","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE225
",,,,"HIVD.treatmentFailure",1,1,"",""
"HIVD.clinicalFailure","HIVD.clinicalFailure","","","",1,1,"","","","string {[]} {[]}
","Clinical failure","New or recurrent clinical event indicating severe immunodeficiency in adults or advanced or severe immunodeficiency in children","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE226
",,,,"HIVD.clinicalFailure",1,1,"",""
"HIVD.immunologicalFailure","HIVD.immunologicalFailure","","","",1,1,"","","","string {[]} {[]}
","Immunological failure","CD4 count at or below 250 cells/mm3 following clinical failure","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE227
",,,,"HIVD.immunologicalFailure",1,1,"",""
"HIVD.virologicalFailure","HIVD.virologicalFailure","","","",1,1,"","","","string {[]} {[]}
","Virological failure","The inability to achieve or maintain viral suppression below a certain threshold indicated by viral load above 1000 copies/mL based on two consecutive viral load measurements in 3 months, with adherence support following the first viral load test","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE228
",,,,"HIVD.virologicalFailure",1,1,"",""
"HIVD.generalCareActivitiesRecommended","HIVD.generalCareActivitiesRecommended","","","",1,1,"","","","string {[]} {[]}
","General care activities recommended","General care activities to be performed during the care visit","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE229
",,,,"HIVD.generalCareActivitiesRecommended",1,1,"",""
"HIVD.determineWhoClinicalStage","HIVD.determineWhoClinicalStage","","","",1,1,"","","","string {[]} {[]}
","Determine WHO clinical stage","Determine WHO clinical stage based on past and current HIV-related conditions","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE230
",,,,"HIVD.determineWhoClinicalStage",1,1,"",""
