"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVC","HIVC","","","",0,*,"","","","null {[]} {[]}
","HIV.C PrEP visit Logical Model","Logical Model for HIV.C PrEP visit data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVC.prepForHivPrevention","HIVC.prepForHivPrevention","","","",1,1,"","","","string {[]} {[]}
","PrEP for HIV prevention","Client was prescribed pre-exposure prophylaxis (PrEP) for HIV prevention","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE76
",,,,"HIVC.prepForHivPrevention",1,1,"",""
"HIVC.pepForHivPrevention","HIVC.pepForHivPrevention","","","",1,1,"","","","string {[]} {[]}
","PEP for HIV prevention","Client was prescribed post-exposure prophylaxis (PEP) for HIV prevention","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE77
",,,,"HIVC.pepForHivPrevention",1,1,"",""
"HIVC.medOther","HIVC.medOther","","","",1,1,"","","","string {[]} {[]}
","Other","Client was prescribed other medications","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE78
",,,,"HIVC.medOther",1,1,"",""
"HIVC.medOtherSpecify","HIVC.medOtherSpecify","","","",1,1,"","","","string {[]} {[]}
","Other (specify)","Client was prescribed other medications (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE79
",,,,"HIVC.medOtherSpecify",1,1,"",""
"HIVC.prepProductPrescribed","HIVC.prepProductPrescribed","","","",1,1,"","","","string {[]} {[]}
","PrEP product prescribed","PrEP product that the client was prescribed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE80
",,,,"HIVC.prepProductPrescribed",1,1,"",""
"HIVC.oralPrep","HIVC.oralPrep","","","",1,1,"","","","string {[]} {[]}
","Oral PrEP","Client was prescribed oral PrEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE81
",,,,"HIVC.oralPrep",1,1,"",""
"HIVC.presDapivirineVaginalRingDvr","HIVC.presDapivirineVaginalRingDvr","","","",1,1,"","","","string {[]} {[]}
","Dapivirine vaginal ring (DVR)","Client was prescribed dapivirine vaginal ring (DVR)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE82
",,,,"HIVC.presDapivirineVaginalRingDvr",1,1,"",""
"HIVC.presCabLa","HIVC.presCabLa","","","",1,1,"","","","string {[]} {[]}
","CAB-LA","Client was prescribed long-acting cabotegravir (CAB-LA)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE83
",,,,"HIVC.presCabLa",1,1,"",""
"HIVC.presOther","HIVC.presOther","","","",1,1,"","","","string {[]} {[]}
","Other","Client was prescribed other PrEP product","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE84
",,,,"HIVC.presOther",1,1,"",""
"HIVC.presOtherSpecify","HIVC.presOtherSpecify","","","",1,1,"","","","string {[]} {[]}
","Other (specify)","Client was prescribed other PrEP product (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE85
",,,,"HIVC.presOtherSpecify",1,1,"",""
"HIVC.datePrepPrescribed","HIVC.datePrepPrescribed","","","",1,1,"","","","string {[]} {[]}
","Date PrEP prescribed","Date client was prescribed PrEP, including initial prescription and repeats","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE86
",,,,"HIVC.datePrepPrescribed",1,1,"",""
"HIVC.datePrepDispensed","HIVC.datePrepDispensed","","","",1,1,"","","","string {[]} {[]}
","Date PrEP dispensed","Date client was dispensed PrEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE87
",,,,"HIVC.datePrepDispensed",1,1,"",""
"HIVC.volumeOfPrepProductPrescribedDispensed","HIVC.volumeOfPrepProductPrescribedDispensed","","","",1,1,"","","","string {[]} {[]}
","Volume of PrEP product prescribed/dispensed","Volume of PrEP product the client was prescribed or dispensed (for example, number of pills, number of devices)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE88
",,,,"HIVC.volumeOfPrepProductPrescribedDispensed",1,1,"",""
"HIVC.datePepPrescribed","HIVC.datePepPrescribed","","","",1,1,"","","","string {[]} {[]}
","Date PEP prescribed","Date the client was prescribed PEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE89
",,,,"HIVC.datePepPrescribed",1,1,"",""
"HIVC.datePepCourseCompletion","HIVC.datePepCourseCompletion","","","",1,1,"","","","string {[]} {[]}
","Date PEP course completion","Date client completes PEP course","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE90
",,,,"HIVC.datePepCourseCompletion",1,1,"",""
"HIVC.preferredPepBackboneRegimen","HIVC.preferredPepBackboneRegimen","","","",1,1,"","","","string {[]} {[]}
","Preferred PEP backbone regimen","Preferred backbone regimen for PEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE91
",,,,"HIVC.preferredPepBackboneRegimen",1,1,"",""
"HIVC.prefTdf3Tc","HIVC.prefTdf3Tc","","","",1,1,"","","","string {[]} {[]}
","TDF + 3TC","Preferred backbone containing tenofovir disoproxil fumarate and lamivudine","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE92
",,,,"HIVC.prefTdf3Tc",1,1,"",""
"HIVC.prefTdfFtc","HIVC.prefTdfFtc","","","",1,1,"","","","string {[]} {[]}
","TDF + FTC","Preferred backbone containing tenofovir disoproxil fumarate and emtricitabine","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE93
",,,,"HIVC.prefTdfFtc",1,1,"",""
"HIVC.prefAzt3Tc","HIVC.prefAzt3Tc","","","",1,1,"","","","string {[]} {[]}
","AZT + 3TC","Preferred backbone containing zidovudine and lamivudine","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE94
",,,,"HIVC.prefAzt3Tc",1,1,"",""
"HIVC.alternativePepBackboneRegimen","HIVC.alternativePepBackboneRegimen","","","",1,1,"","","","string {[]} {[]}
","Alternative PEP backbone regimen","Alternative backbone regimen for PEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE95
",,,,"HIVC.alternativePepBackboneRegimen",1,1,"",""
"HIVC.altAbc3Tc","HIVC.altAbc3Tc","","","",1,1,"","","","string {[]} {[]}
","ABC + 3TC","Alternative backbone containing abacavir and lamivudine","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE96
",,,,"HIVC.altAbc3Tc",1,1,"",""
"HIVC.altTdf3Tc","HIVC.altTdf3Tc","","","",1,1,"","","","string {[]} {[]}
","TDF + 3TC","Alternative backbone containing tenofovir disoproxil fumarate and lamivudine","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE97
",,,,"HIVC.altTdf3Tc",1,1,"",""
"HIVC.altTdfFtc","HIVC.altTdfFtc","","","",1,1,"","","","string {[]} {[]}
","TDF + FTC","Alternative backbone containing tenofovir disoproxil fumarate and emtricitabine","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE98
",,,,"HIVC.altTdfFtc",1,1,"",""
"HIVC.preferredThirdPepDrug","HIVC.preferredThirdPepDrug","","","",1,1,"","","","string {[]} {[]}
","Preferred third PEP drug","Preferred third drug for PEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE99
",,,,"HIVC.preferredThirdPepDrug",1,1,"",""
"HIVC.dtg","HIVC.dtg","","","",1,1,"","","","string {[]} {[]}
","DTG","Preferred third drug of dolutegravir","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE100
",,,,"HIVC.dtg",1,1,"",""
"HIVC.alternativeThirdPepDrug","HIVC.alternativeThirdPepDrug","","","",1,1,"","","","string {[]} {[]}
","Alternative third PEP drug","Alternative third drug for PEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE101
",,,,"HIVC.alternativeThirdPepDrug",1,1,"",""
"HIVC.atvr","HIVC.atvr","","","",1,1,"","","","string {[]} {[]}
","ATV/r","Alternative third drug of atazanavir/ritonavir (ATV/r)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE102
",,,,"HIVC.atvr",1,1,"",""
"HIVC.drvr","HIVC.drvr","","","",1,1,"","","","string {[]} {[]}
","DRV/r","Alternative third drug of darunavir/ritonavir (DRV/r)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE103
",,,,"HIVC.drvr",1,1,"",""
"HIVC.lpvr","HIVC.lpvr","","","",1,1,"","","","string {[]} {[]}
","LPV/r","Alternative third drug of lopinavir/ritonavir (LPV/r)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE104
",,,,"HIVC.lpvr",1,1,"",""
"HIVC.ral","HIVC.ral","","","",1,1,"","","","string {[]} {[]}
","RAL","Alternative third drug of raltegravir (RAL)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE105
",,,,"HIVC.ral",1,1,"",""
"HIVC.estimatedCreatinineClearance","HIVC.estimatedCreatinineClearance","","","",1,1,"","","","string {[]} {[]}
","Estimated creatinine clearance","Estimated creatinine clearance of the client returned from lab in mL/min","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE106
",,,,"HIVC.estimatedCreatinineClearance",1,1,"",""
"HIVC.sexFactorForEstimatingCreatinineClearance","HIVC.sexFactorForEstimatingCreatinineClearance","","","",1,1,"","","","string {[]} {[]}
","Sex factor for estimating creatinine clearance","Value used for gender for calculating creatinine clearance if required. For transgender populations, the sex at birth is used in the Cockcroft-Gault equation if the person is not using hormone therapy; among transgender populations using hormone therapy for more than three months, the current gender can be used.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE107
",,,,"HIVC.sexFactorForEstimatingCreatinineClearance",1,1,"",""
"HIVC.male","HIVC.male","","","",1,1,"","","","string {[]} {[]}
","Male","Male client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE108
",,,,"HIVC.male",1,1,"",""
"HIVC.female","HIVC.female","","","",1,1,"","","","string {[]} {[]}
","Female","Female client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE109
",,,,"HIVC.female",1,1,"",""
"HIVC.estimatedCreatinineClearanceCQE","HIVC.estimatedCreatinineClearanceCQE","","","",1,1,"","","","string {[]} {[]}
","Estimated creatinine clearance (Cockcroft–Gault equation)","If the laboratory does not have the capacity to estimate creatinine clearance, the provider can use the Cockcroft–Gault equation to calculate estimated creatinine clearance based on measured serum creatinine, the client’s sex at birth, age and estimated lean body weight.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE110
",,,,"HIVC.estimatedCreatinineClearanceCQE",1,1,"",""
"HIVC.dateOfSampleCollection","HIVC.dateOfSampleCollection","","","",1,1,"","","","string {[]} {[]}
","Date of sample collection","Date when the specimen was collected","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE111
",,,,"HIVC.dateOfSampleCollection",1,1,"",""
"HIVC.contraindicationsToPrepUsage","HIVC.contraindicationsToPrepUsage","","","",1,1,"","","","string {[]} {[]}
","Contraindications to PrEP usage","Listing of contraindications to pre-exposure prophylaxis (PrEP)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE112
",,,,"HIVC.contraindicationsToPrepUsage",1,1,"",""
"HIVC.tenofovirDisoproxilFumarateTdfAllergyOrContraindication","HIVC.tenofovirDisoproxilFumarateTdfAllergyOrContraindication","","","",1,1,"","","","string {[]} {[]}
","Tenofovir disoproxil fumarate (TDF) allergy or contraindication","Allergy to pre-exposure prophylaxis (PrEP) tenofovir disoproxil fumarate (TDF)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE113
",,,,"HIVC.tenofovirDisoproxilFumarateTdfAllergyOrContraindication",1,1,"",""
"HIVC.hivPositive","HIVC.hivPositive","","","",1,1,"","","","string {[]} {[]}
","HIV-positive","Client is HIV-positive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE114
",,,,"HIVC.hivPositive",1,1,"",""
"HIVC.lowEstimatedCreatinineClearance","HIVC.lowEstimatedCreatinineClearance","","","",1,1,"","","","string {[]} {[]}
","Low estimated creatinine clearance","Estimated creatinine clearance of less than 60 ml/min (if known)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE115
",,,,"HIVC.lowEstimatedCreatinineClearance",1,1,"",""
"HIVC.sAcuteHivInfectionSymptoms","HIVC.sAcuteHivInfectionSymptoms","","","",1,1,"","","","string {[]} {[]}
","Acute HIV infection symptoms","Symptoms that could suggest an acute HIV infection","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE116
",,,,"HIVC.sAcuteHivInfectionSymptoms",1,1,"",""
"HIVC.probableRecentExposureToHiv","HIVC.probableRecentExposureToHiv","","","",1,1,"","","","string {[]} {[]}
","Probable recent exposure to HIV","When the client is reported to have had probable recent exposure to HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE117
",,,,"HIVC.probableRecentExposureToHiv",1,1,"",""
"HIVC.otherAllergyOrContraindicationPrepR","HIVC.otherAllergyOrContraindicationPrepR","","","",1,1,"","","","string {[]} {[]}
","Other allergy or contraindication to a medicine in the PrEP regimen","Client has another allergy or contraindication to a medicine in the pre-exposure prophylaxis (PrEP) regimen","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE118
",,,,"HIVC.otherAllergyOrContraindicationPrepR",1,1,"",""
"HIVC.otherAllergyOrContraindicationPrepRSpecify","HIVC.otherAllergyOrContraindicationPrepRSpecify","","","",1,1,"","","","string {[]} {[]}
","Other allergy or contraindication to a medicine in the PrEP regimen (specify)","Client has another allergy or contraindication to a medicine in the pre-exposure prophylaxis (PrEP) regimen (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE119
",,,,"HIVC.otherAllergyOrContraindicationPrepRSpecify",1,1,"",""
"HIVC.prescribedPrepAtInitialVisit","HIVC.prescribedPrepAtInitialVisit","","","",1,1,"","","","string {[]} {[]}
","Prescribed PrEP at initial visit","Client was prescribed pre-exposure prophylaxis (PrEP) on a first visit","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE120
",,,,"HIVC.prescribedPrepAtInitialVisit",1,1,"",""
"HIVC.numberOfDaysPrescribed","HIVC.numberOfDaysPrescribed","","","",1,1,"","","","string {[]} {[]}
","Number of days prescribed","Days of medication client has been prescribed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE121
",,,,"HIVC.numberOfDaysPrescribed",1,1,"",""
"HIVC.prepRegimenPrescribed","HIVC.prepRegimenPrescribed","","","",1,1,"","","","string {[]} {[]}
","PrEP regimen prescribed","HIV pre-exposure prophylaxis (PrEP) regimen prescribed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE122
",,,,"HIVC.prepRegimenPrescribed",1,1,"",""
"HIVC.adherenceCounsellingProvided","HIVC.adherenceCounsellingProvided","","","",1,1,"","","","string {[]} {[]}
","Adherence counselling provided","Whether adherence counselling was provided","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE123
",,,,"HIVC.adherenceCounsellingProvided",1,1,"",""
"HIVC.datetimeOfFollowUpAppointment","HIVC.datetimeOfFollowUpAppointment","","","",1,1,"","","","string {[]} {[]}
","Date/time of follow-up appointment","Date the client is to return for monitoring, re-supply, or any other reason","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE124
",,,,"HIVC.datetimeOfFollowUpAppointment",1,1,"",""
"HIVC.typeOfFollowUpAppointment","HIVC.typeOfFollowUpAppointment","","","",1,1,"","","","string {[]} {[]}
","Type of follow-up appointment","Type of follow-up appointment for testing services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE125
",,,,"HIVC.typeOfFollowUpAppointment",1,1,"",""
"HIVC.retestingForHiv","HIVC.retestingForHiv","","","",1,1,"","","","string {[]} {[]}
","Retesting for HIV","Retesting follow-up appointment","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE126
",,,,"HIVC.retestingForHiv",1,1,"",""
"HIVC.followUpAppointmentForPrep","HIVC.followUpAppointmentForPrep","","","",1,1,"","","","string {[]} {[]}
","Follow-up appointment for PrEP","Retesting follow-up appointment","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE127
",,,,"HIVC.followUpAppointmentForPrep",1,1,"",""
"HIVC.fupOther","HIVC.fupOther","","","",1,1,"","","","string {[]} {[]}
","Other","Other reason for the follow-up appointment","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE128
",,,,"HIVC.fupOther",1,1,"",""
"HIVC.fupOtherSpecify","HIVC.fupOtherSpecify","","","",1,1,"","","","string {[]} {[]}
","Other (specify)","Other reason for the follow-up appointment (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE129
",,,,"HIVC.fupOtherSpecify",1,1,"",""
"HIVC.linkedToEnrolmentInCareAndArtInitiation","HIVC.linkedToEnrolmentInCareAndArtInitiation","","","",1,1,"","","","string {[]} {[]}
","Linked to enrolment in care and ART initiation","Linkage made from HIV testing to enrolment in care following an HIV diagnosis","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE130
",,,,"HIVC.linkedToEnrolmentInCareAndArtInitiation",1,1,"",""
"HIVC.preventionServicesOfferedAndReferrals","HIVC.preventionServicesOfferedAndReferrals","","","",1,1,"","","","string {[]} {[]}
","Prevention services offered and referrals","Offer or refer to prevention services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE131
",,,,"HIVC.preventionServicesOfferedAndReferrals",1,1,"",""
"HIVC.maleAndFemaleCondomsAndCondomCompatibleLubricantsOffered","HIVC.maleAndFemaleCondomsAndCondomCompatibleLubricantsOffered","","","",1,1,"","","","string {[]} {[]}
","Male and female condoms and condom-compatible lubricants offered","Offer male and female condoms and condom-compatible lubricants","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE132
",,,,"HIVC.maleAndFemaleCondomsAndCondomCompatibleLubricantsOffered",1,1,"",""
"HIVC.voluntaryMedicalMaleCircumcisionVmmcReferral","HIVC.voluntaryMedicalMaleCircumcisionVmmcReferral","","","",1,1,"","","","string {[]} {[]}
","Voluntary medical male circumcision (VMMC) referral","Offer referral for VMMC services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE133
",,,,"HIVC.voluntaryMedicalMaleCircumcisionVmmcReferral",1,1,"",""
"HIVC.harmReductionForPeopleWhoInjectDrugs","HIVC.harmReductionForPeopleWhoInjectDrugs","","","",1,1,"","","","string {[]} {[]}
","Harm reduction for people who inject drugs","Offer or refer to harm reduction for people who inject drugs (needle and syringe programmes, opioid substitution therapy, other drug-dependence treatment and opioid overdose prevention and management) services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE134
",,,,"HIVC.harmReductionForPeopleWhoInjectDrugs",1,1,"",""
"HIVC.behaviouralInterventionsToSupportRiskReduction","HIVC.behaviouralInterventionsToSupportRiskReduction","","","",1,1,"","","","string {[]} {[]}
","Behavioural interventions to support risk reduction","Offer or refer to services for behavioural interventions to support risk reduction, particularly for people with HIV and members of key populations","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE135
",,,,"HIVC.behaviouralInterventionsToSupportRiskReduction",1,1,"",""
"HIVC.dateProvidedCondoms","HIVC.dateProvidedCondoms","","","",1,1,"","","","string {[]} {[]}
","Date provided condoms","Date client was provided with condoms","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE136
",,,,"HIVC.dateProvidedCondoms",1,1,"",""
"HIVC.condomsDistributed","HIVC.condomsDistributed","","","",1,1,"","","","string {[]} {[]}
","Condoms distributed","Number of condoms given to the client, if any were distributed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE137
",,,,"HIVC.condomsDistributed",1,1,"",""
"HIVC.condomType","HIVC.condomType","","","",1,1,"","","","string {[]} {[]}
","Condom type","Type of condom provided to client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE138
",,,,"HIVC.condomType",1,1,"",""
"HIVC.maleCondom","HIVC.maleCondom","","","",1,1,"","","","string {[]} {[]}
","Male condom","Male condoms were provided to the client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE139
",,,,"HIVC.maleCondom",1,1,"",""
"HIVC.femaleCondom","HIVC.femaleCondom","","","",1,1,"","","","string {[]} {[]}
","Female condom","Female condoms were provided to the client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE140
",,,,"HIVC.femaleCondom",1,1,"",""
"HIVC.hivSelfTestKitsAccepted","HIVC.hivSelfTestKitsAccepted","","","",1,1,"","","","string {[]} {[]}
","HIV self-test kits accepted","Whether any HIV self-test kits were given to the client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE141
",,,,"HIVC.hivSelfTestKitsAccepted",1,1,"",""
"HIVC.numberOfHivSelfTestKitsDistributed","HIVC.numberOfHivSelfTestKitsDistributed","","","",1,1,"","","","string {[]} {[]}
","Number of HIV self-test kits distributed","Number of HIV self-test kits distributed to the client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE142
",,,,"HIVC.numberOfHivSelfTestKitsDistributed",1,1,"",""
"HIVC.hivSelfTestDistributedForUseBy","HIVC.hivSelfTestDistributedForUseBy","","","",1,1,"","","","string {[]} {[]}
","HIV self-test distributed for use by","Whom the client plans to give the HIV self-test kit (self, sexual partner, social contact, etc.)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE143
",,,,"HIVC.hivSelfTestDistributedForUseBy",1,1,"",""
"HIVC.self","HIVC.self","","","",1,1,"","","","string {[]} {[]}
","Self","Client plans to use the self-test kit","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE144
",,,,"HIVC.self",1,1,"",""
"HIVC.familyMember","HIVC.familyMember","","","",1,1,"","","","string {[]} {[]}
","Family member","Client plans to give the self-test kit to a family member to use","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE145
",,,,"HIVC.familyMember",1,1,"",""
"HIVC.drugInjectingPartner","HIVC.drugInjectingPartner","","","",1,1,"","","","string {[]} {[]}
","Drug-injecting partner","Client plans to give the self-test kit to a drug-injecting partner","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE146
",,,,"HIVC.drugInjectingPartner",1,1,"",""
"HIVC.sexualPartner","HIVC.sexualPartner","","","",1,1,"","","","string {[]} {[]}
","Sexual partner","Client plans to give the self-test kit to a sexual partner","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE147
",,,,"HIVC.sexualPartner",1,1,"",""
"HIVC.socialContact","HIVC.socialContact","","","",1,1,"","","","string {[]} {[]}
","Social contact","Client plans to give the self-test kit to a social contact","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE148
",,,,"HIVC.socialContact",1,1,"",""
"HIVC.sexualAndReproductiveHealthIntegratedServices","HIVC.sexualAndReproductiveHealthIntegratedServices","","","",1,1,"","","","string {[]} {[]}
","Sexual and reproductive health integrated services","Offer or refer to sexual and reproductive health services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE149
",,,,"HIVC.sexualAndReproductiveHealthIntegratedServices",1,1,"",""
"HIVC.contraceptionAndFamilyPlanning","HIVC.contraceptionAndFamilyPlanning","","","",1,1,"","","","string {[]} {[]}
","Contraception and family planning","Offer contraception and family planning services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE150
",,,,"HIVC.contraceptionAndFamilyPlanning",1,1,"",""
"HIVC.checkPregnancyStatus","HIVC.checkPregnancyStatus","","","",1,1,"","","","string {[]} {[]}
","Check pregnancy status","Check womans pregnancy status","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE151
",,,,"HIVC.checkPregnancyStatus",1,1,"",""
"HIVC.preventMotherToChildTransmission","HIVC.preventMotherToChildTransmission","","","",1,1,"","","","string {[]} {[]}
","Prevent mother-to-child transmission","Offer services (counselling) to help prevent of mother-to-child transmission","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE152
",,,,"HIVC.preventMotherToChildTransmission",1,1,"",""
"HIVC.cervicalCancerScreeningAndTreatment","HIVC.cervicalCancerScreeningAndTreatment","","","",1,1,"","","","string {[]} {[]}
","Cervical cancer screening and treatment","Offer cervical cancer screening and treatment services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE153
",,,,"HIVC.cervicalCancerScreeningAndTreatment",1,1,"",""
